Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.772,0.879,2,-3.423,0.0395,0.0219,0,0.148,0.431,139.972,energ
0.835,0.468,1,-6.97,0.239,0.029,0,0.245,0.401,126.072,energ
0.926,0.542,1,-5.064,0.293,0.135,0,0.0877,0.564,135.14,energ
0.834,0.731,10,-5.603,0.0566,0.0462,0,0.0731,0.681,140.001,energ
0.807,0.519,2,-6.489,0.337,0.0403,0,0.152,0.283,134.867,energ
0.888,0.432,10,-9.275,0.0934,0.0562,0,0.112,0.173,99.965,energ
0.963,0.346,5,-9.309,0.53,0.0355,0,0.108,0.562,119.957,energ
0.917,0.529,1,-3.785,0.101,0.00998,0,0.0884,0.289,122,energ
0.791,0.769,11,-5.134,0.113,0.00166,0,0.141,0.558,159.951,energ
0.89,0.504,8,-5.444,0.123,0.023,0,0.123,0.222,129.969,energ
0.638,0.4,11,-11.212,0.0425,0.733,0.000133,0.334,0.495,150.133,energ
0.675,0.23,1,-10.363,0.204,0.191,0,0.104,0.101,173.962,energ
0.8,0.406,6,-8.892,0.268,0.636,0,0.109,0.274,120.999,energ
0.914,0.572,2,-8.82,0.166,0.0709,0.00237,0.0599,0.203,123.963,energ
0.732,0.69,4,-7.745,0.174,0.538,9.37E-05,0.191,0.636,117.157,energ
0.636,0.501,11,-7.26,0.329,0.413,0,0.339,0.196,82.309,energ
0.906,0.444,4,-8.692,0.384,0.136,6.44E-05,0.173,0.678,140.063,energ
0.827,0.567,5,-10.232,0.155,0.117,0,0.23,0.866,129.98,energ
0.825,0.458,0,-7.47,0.0577,0.114,0,0.102,0.161,145.115,energ
0.695,0.343,5,-10.798,0.0432,0.0743,1.04E-06,0.107,0.229,85.84,energ
0.761,0.518,0,-8.871,0.134,0.244,3.47E-05,0.107,0.522,133.976,energ
0.836,0.617,0,-4.363,0.0534,0.17,0,0.319,0.866,138.066,energ
0.891,0.628,2,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,134.966,energ
0.745,0.686,4,-5.7,0.0313,0.528,0,0.176,0.437,121.978,energ
0.729,0.603,6,-6.736,0.0666,0.0948,0,0.113,0.207,134.972,energ
0.929,0.631,7,-7.419,0.184,0.0864,0,0.0691,0.433,112.023,energ
0.795,0.568,5,-7.817,0.142,0.0541,0,0.108,0.478,136.173,energ
0.724,0.693,7,-5.379,0.0798,0.445,0,0.389,0.713,139.986,energ
0.67,0.515,1,-6.977,0.397,0.0705,0,0.25,0.422,122.006,energ
0.959,0.776,1,-5.457,0.233,0.0565,0,0.225,0.332,107.603,energ
0.522,0.728,3,-3.801,0.0323,0.00134,0,0.132,0.18,124.045,energ
0.841,0.728,7,-3.37,0.0484,0.0847,0,0.149,0.43,130.049,energ
0.785,0.554,0,-6.571,0.0409,0.283,3.40E-06,0.116,0.144,128.047,energ
0.507,0.586,0,-8.15,0.0586,0.599,0.0544,0.118,0.588,108.164,energ
0.711,0.739,7,-3.804,0.129,0.114,0,0.226,0.43,136.919,energ
0.402,0.526,9,-6.741,0.0904,0.113,8.33E-06,0.105,0.312,81.404,energ
0.459,0.623,1,-4.45,0.0489,0.352,0,0.131,0.205,126.018,energ
0.676,0.82,7,-5.217,0.0554,0.0493,0,0.615,0.618,152.028,energ
0.741,0.645,11,-5.116,0.0963,0.192,0,0.163,0.488,149.07,energ
0.65,0.589,11,-8.02,0.0649,0.375,3.57E-05,0.128,0.438,160.031,energ
0.736,0.622,6,-4.653,0.133,0.0235,0,0.151,0.506,191.971,energ
0.762,0.553,5,-7.207,0.112,0.55,0,0.115,0.773,119.973,energ
0.792,0.484,7,-7.801,0.155,0.558,0,0.134,0.353,140.019,energ
0.828,0.37,7,-7.446,0.264,0.487,0,0.119,0.557,149.95,energ
0.823,0.768,11,-6.21,0.0819,0.0146,1.03E-06,0.127,0.216,115.021,energ
0.877,0.677,5,-4.969,0.356,0.0439,0,0.0986,0.627,144.941,energ
0.832,0.557,7,-3.947,0.053,0.307,0,0.176,0.279,125.999,energ
0.796,0.447,7,-11.612,0.426,0.174,0,0.0983,0.672,148,energ
0.534,0.816,5,-2.113,0.106,0.0255,0,0.123,0.131,116.745,energ
0.828,0.543,2,-7.678,0.0865,0.452,0,0.15,0.231,125.989,energ
0.416,0.824,1,-3.075,0.343,0.00391,0,0.104,0.417,85.433,energ
0.867,0.558,1,-6.975,0.258,0.0884,4.05E-06,0.541,0.432,139.061,energ
0.507,0.429,2,-7.726,0.326,0.0518,0,0.109,0.0744,91,energ
0.573,0.867,5,-2.876,0.168,0.0853,0,0.38,0.231,74.861,energ
0.916,0.756,0,-7.653,0.188,0.0942,0,0.23,0.756,115.69,energ
0.849,0.424,5,-9.579,0.324,0.0635,0,0.0834,0.153,145.887,energ
0.678,0.623,1,-5.034,0.0828,0.16,0,0.151,0.103,160.018,energ
