danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.427,0.492,9,-8.053,1,0.0563,0.697,1.16e-05,0.356,0.308,109.974,audio_features,5BHvj11hSbdHzwXIl9Sq62,spotify:track:5BHvj11hSbdHzwXIl9Sq62,https://api.spotify.com/v1/tracks/5BHvj11hSbdHzwXIl9Sq62,https://api.spotify.com/v1/audio-analysis/5BHvj11hSbdHzwXIl9Sq62,207808,4
0.672,0.472,6,-7.148,1,0.0324,0.645,0.0,0.102,0.561,131.925,audio_features,751bgbxEOI9bjbTO88EKIb,spotify:track:751bgbxEOI9bjbTO88EKIb,https://api.spotify.com/v1/tracks/751bgbxEOI9bjbTO88EKIb,https://api.spotify.com/v1/audio-analysis/751bgbxEOI9bjbTO88EKIb,185679,4
0.525,0.646,11,-4.963,1,0.0268,0.304,0.0,0.297,0.373,86.957,audio_features,04TshWXkhV1qkqHzf31Hn6,spotify:track:04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/tracks/04TshWXkhV1qkqHzf31Hn6,https://api.spotify.com/v1/audio-analysis/04TshWXkhV1qkqHzf31Hn6,255827,4
0.582,0.321,0,-8.876,1,0.0284,0.816,0.0,0.12,0.612,133.895,audio_features,1Rxn57Wwv6hQUu60MIiMMJ,spotify:track:1Rxn57Wwv6hQUu60MIiMMJ,https://api.spotify.com/v1/tracks/1Rxn57Wwv6hQUu60MIiMMJ,https://api.spotify.com/v1/audio-analysis/1Rxn57Wwv6hQUu60MIiMMJ,198552,4
0.565,0.563,10,-6.742,1,0.0496,0.741,0.0,0.226,0.319,147.905,audio_features,0O7O4sssbFxoNoB4QRGra1,spotify:track:0O7O4sssbFxoNoB4QRGra1,https://api.spotify.com/v1/tracks/0O7O4sssbFxoNoB4QRGra1,https://api.spotify.com/v1/audio-analysis/0O7O4sssbFxoNoB4QRGra1,296007,4
0.656,0.531,4,-7.013,1,0.0362,0.568,0.0,0.107,0.74,119.897,audio_features,5f6Wfp1DmctnKGN8LNOpQi,spotify:track:5f6Wfp1DmctnKGN8LNOpQi,https://api.spotify.com/v1/tracks/5f6Wfp1DmctnKGN8LNOpQi,https://api.spotify.com/v1/audio-analysis/5f6Wfp1DmctnKGN8LNOpQi,222173,4
0.538,0.333,11,-9.166,1,0.0298,0.714,0.000766,0.146,0.275,72.063,audio_features,0F4IKZU7I3tWXyJIlqhtqU,spotify:track:0F4IKZU7I3tWXyJIlqhtqU,https://api.spotify.com/v1/tracks/0F4IKZU7I3tWXyJIlqhtqU,https://api.spotify.com/v1/audio-analysis/0F4IKZU7I3tWXyJIlqhtqU,235833,1
0.659,0.308,0,-7.774,0,0.0432,0.487,0.0,0.145,0.159,86.065,audio_features,1p8XXEIjVHIqS6EKXG5qhb,spotify:track:1p8XXEIjVHIqS6EKXG5qhb,https://api.spotify.com/v1/tracks/1p8XXEIjVHIqS6EKXG5qhb,https://api.spotify.com/v1/audio-analysis/1p8XXEIjVHIqS6EKXG5qhb,159070,4
0.552,0.259,2,-10.315,1,0.0254,0.869,0.0,0.119,0.229,97.966,audio_features,4JSwvmdFoCctamddcXEzhn,spotify:track:4JSwvmdFoCctamddcXEzhn,https://api.spotify.com/v1/tracks/4JSwvmdFoCctamddcXEzhn,https://api.spotify.com/v1/audio-analysis/4JSwvmdFoCctamddcXEzhn,266813,4
0.376,0.631,6,-6.537,1,0.0582,0.244,0.0,0.0912,0.308,163.634,audio_features,6V2ycd5EqUqAl9r6NHqjNN,spotify:track:6V2ycd5EqUqAl9r6NHqjNN,https://api.spotify.com/v1/tracks/6V2ycd5EqUqAl9r6NHqjNN,https://api.spotify.com/v1/audio-analysis/6V2ycd5EqUqAl9r6NHqjNN,264969,4
0.437,0.452,0,-7.861,0,0.033,0.428,5.85e-05,0.184,0.345,137.201,audio_features,1a0qZKszfpB8tJRFLXMqpj,spotify:track:1a0qZKszfpB8tJRFLXMqpj,https://api.spotify.com/v1/tracks/1a0qZKszfpB8tJRFLXMqpj,https://api.spotify.com/v1/audio-analysis/1a0qZKszfpB8tJRFLXMqpj,317487,4
0.697,0.628,6,-7.194,0,0.0362,0.418,0.0,0.373,0.741,119.99,audio_features,4eH9ujPhZSF0HZ1c004wtb,spotify:track:4eH9ujPhZSF0HZ1c004wtb,https://api.spotify.com/v1/tracks/4eH9ujPhZSF0HZ1c004wtb,https://api.spotify.com/v1/audio-analysis/4eH9ujPhZSF0HZ1c004wtb,246022,4
0.434,0.546,6,-6.881,1,0.0277,0.58,0.0,0.0839,0.256,166.007,audio_features,6oUC0SXCxnjYl2HyPat8lx,spotify:track:6oUC0SXCxnjYl2HyPat8lx,https://api.spotify.com/v1/tracks/6oUC0SXCxnjYl2HyPat8lx,https://api.spotify.com/v1/audio-analysis/6oUC0SXCxnjYl2HyPat8lx,209656,4
0.524,0.613,7,-5.65,1,0.0266,0.494,0.0,0.333,0.473,93.042,audio_features,49gU95GpWNOY4hzUWYefjp,spotify:track:49gU95GpWNOY4hzUWYefjp,https://api.spotify.com/v1/tracks/49gU95GpWNOY4hzUWYefjp,https://api.spotify.com/v1/audio-analysis/49gU95GpWNOY4hzUWYefjp,243116,4
0.459,0.451,2,-7.582,1,0.0342,0.0762,5.85e-05,0.1,0.304,142.291,audio_features,2fmUFSA8GV3SusglOWgltw,spotify:track:2fmUFSA8GV3SusglOWgltw,https://api.spotify.com/v1/tracks/2fmUFSA8GV3SusglOWgltw,https://api.spotify.com/v1/audio-analysis/2fmUFSA8GV3SusglOWgltw,232933,4
0.522,0.227,8,-12.27,1,0.0292,0.781,1.12e-06,0.101,0.0987,145.914,audio_features,1J707Wskr4x6JO9QwhiCm4,spotify:track:1J707Wskr4x6JO9QwhiCm4,https://api.spotify.com/v1/tracks/1J707Wskr4x6JO9QwhiCm4,https://api.spotify.com/v1/audio-analysis/1J707Wskr4x6JO9QwhiCm4,199587,4
0.607,0.449,3,-8.932,1,0.0284,0.497,0.0,0.111,0.446,133.962,audio_features,3MA7ee2cScQAlRiWiqgGdc,spotify:track:3MA7ee2cScQAlRiWiqgGdc,https://api.spotify.com/v1/tracks/3MA7ee2cScQAlRiWiqgGdc,https://api.spotify.com/v1/audio-analysis/3MA7ee2cScQAlRiWiqgGdc,204000,4
0.583,0.866,9,-4.005,1,0.0354,0.0524,0.0,0.0543,0.668,133.954,audio_features,7wtipdGOW8s0LtDM0pT9YW,spotify:track:7wtipdGOW8s0LtDM0pT9YW,https://api.spotify.com/v1/tracks/7wtipdGOW8s0LtDM0pT9YW,https://api.spotify.com/v1/audio-analysis/7wtipdGOW8s0LtDM0pT9YW,241791,4
0.494,0.558,7,-7.942,1,0.0436,0.637,0.0,0.24,0.38,164.105,audio_features,7F95gCKq2x7UDACljoYNWA,spotify:track:7F95gCKq2x7UDACljoYNWA,https://api.spotify.com/v1/tracks/7F95gCKq2x7UDACljoYNWA,https://api.spotify.com/v1/audio-analysis/7F95gCKq2x7UDACljoYNWA,251906,4
0.533,0.384,5,-10.877,0,0.0395,0.582,0.0,0.372,0.238,112.024,audio_features,1eyhZf2stL2a1AXSfeKyYn,spotify:track:1eyhZf2stL2a1AXSfeKyYn,https://api.spotify.com/v1/tracks/1eyhZf2stL2a1AXSfeKyYn,https://api.spotify.com/v1/audio-analysis/1eyhZf2stL2a1AXSfeKyYn,261347,4
0.763,0.728,7,-4.154,1,0.0382,0.341,0.0,0.214,0.835,126.009,audio_features,4FrizRiAVRXdcsJNlQGB9x,spotify:track:4FrizRiAVRXdcsJNlQGB9x,https://api.spotify.com/v1/tracks/4FrizRiAVRXdcsJNlQGB9x,https://api.spotify.com/v1/audio-analysis/4FrizRiAVRXdcsJNlQGB9x,266000,4
