danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url
0.684,0.0368,9,-22.235,0.0345,0.926,0.00253,0.132,0.144,92.009,2BKKJtSVlhtFSjd8Ap26iZ,spotify:track:2BKKJtSVlhtFSjd8Ap26iZ,https://api.spotify.com/v1/tracks/2BKKJtSVlhtFSjd8Ap26iZ,https://api.spotify.com/v1/audio-analysis/2BKKJtSVlhtFSjd8Ap26iZ
0.512,0.383,5,-8.14,0.0302,0.924,0.602,0.097,0.137,123.917,0dFWSt8dmEe9l76I8IphBU,spotify:track:0dFWSt8dmEe9l76I8IphBU,https://api.spotify.com/v1/tracks/0dFWSt8dmEe9l76I8IphBU,https://api.spotify.com/v1/audio-analysis/0dFWSt8dmEe9l76I8IphBU
0.254,0.309,2,-13.889,0.0416,0.936,0.712,0.0947,0.145,93.512,43ScUPpZQvW9M3g4bITBZ0,spotify:track:43ScUPpZQvW9M3g4bITBZ0,https://api.spotify.com/v1/tracks/43ScUPpZQvW9M3g4bITBZ0,https://api.spotify.com/v1/audio-analysis/43ScUPpZQvW9M3g4bITBZ0
0.263,0.03,10,-26.983,0.0426,0.976,0.617,0.104,0.0516,72.973,2ggBEiIdnxcxQ0bAC0KZa0,spotify:track:2ggBEiIdnxcxQ0bAC0KZa0,https://api.spotify.com/v1/tracks/2ggBEiIdnxcxQ0bAC0KZa0,https://api.spotify.com/v1/audio-analysis/2ggBEiIdnxcxQ0bAC0KZa0
0.751,0.385,4,-12.355,0.0343,0.92,0.904,0.243,0.56,114.151,1S1IiKJMQ8Na391YTPiPfh,spotify:track:1S1IiKJMQ8Na391YTPiPfh,https://api.spotify.com/v1/tracks/1S1IiKJMQ8Na391YTPiPfh,https://api.spotify.com/v1/audio-analysis/1S1IiKJMQ8Na391YTPiPfh
0.345,0.208,0,-12.649,0.0301,0.958,0.859,0.135,0.0893,101.052,7rdPF4veJD73QRRvFcR0sK,spotify:track:7rdPF4veJD73QRRvFcR0sK,https://api.spotify.com/v1/tracks/7rdPF4veJD73QRRvFcR0sK,https://api.spotify.com/v1/audio-analysis/7rdPF4veJD73QRRvFcR0sK
0.233,0.0415,11,-26.802,0.0452,0.992,0.467,0.105,0.0565,63.733,602vSjoSXpRqpIFdaGEoW1,spotify:track:602vSjoSXpRqpIFdaGEoW1,https://api.spotify.com/v1/tracks/602vSjoSXpRqpIFdaGEoW1,https://api.spotify.com/v1/audio-analysis/602vSjoSXpRqpIFdaGEoW1
0.382,0.307,7,-12.348,0.0307,0.808,0.648,0.554,0.193,114.356,3TWA7l03qmqOdz1KcmMtun,spotify:track:3TWA7l03qmqOdz1KcmMtun,https://api.spotify.com/v1/tracks/3TWA7l03qmqOdz1KcmMtun,https://api.spotify.com/v1/audio-analysis/3TWA7l03qmqOdz1KcmMtun
0.631,0.0211,5,-25.511,0.0684,0.979,0.0,0.101,0.501,135.855,2RsO26SnRZg5btJ4FtZ8vD,spotify:track:2RsO26SnRZg5btJ4FtZ8vD,https://api.spotify.com/v1/tracks/2RsO26SnRZg5btJ4FtZ8vD,https://api.spotify.com/v1/audio-analysis/2RsO26SnRZg5btJ4FtZ8vD
0.229,0.102,0,-20.682,0.0443,0.945,0.788,0.103,0.0395,80.392,3lv1OMbvmODFykWOboFSKt,spotify:track:3lv1OMbvmODFykWOboFSKt,https://api.spotify.com/v1/tracks/3lv1OMbvmODFykWOboFSKt,https://api.spotify.com/v1/audio-analysis/3lv1OMbvmODFykWOboFSKt
0.357,0.19,0,-14.424,0.0316,0.796,0.894,0.099,0.077,173.96,0z2IERVFhfUOpraR5PXcfL,spotify:track:0z2IERVFhfUOpraR5PXcfL,https://api.spotify.com/v1/tracks/0z2IERVFhfUOpraR5PXcfL,https://api.spotify.com/v1/audio-analysis/0z2IERVFhfUOpraR5PXcfL
0.283,0.153,7,-12.5,0.032,0.975,0.00133,0.186,0.0951,180.066,0wwu70ut6ZbOtqgNer0oyT,spotify:track:0wwu70ut6ZbOtqgNer0oyT,https://api.spotify.com/v1/tracks/0wwu70ut6ZbOtqgNer0oyT,https://api.spotify.com/v1/audio-analysis/0wwu70ut6ZbOtqgNer0oyT
0.446,0.204,0,-14.134,0.0357,0.927,0.846,0.154,0.655,121.37,3GW0s9UeNYzF2jyCb2UWe2,spotify:track:3GW0s9UeNYzF2jyCb2UWe2,https://api.spotify.com/v1/tracks/3GW0s9UeNYzF2jyCb2UWe2,https://api.spotify.com/v1/audio-analysis/3GW0s9UeNYzF2jyCb2UWe2
0.515,0.174,7,-18.245,0.0342,0.977,0.913,0.134,0.0755,72.73,1x5uu3K2T5q15dm4tzUzBt,spotify:track:1x5uu3K2T5q15dm4tzUzBt,https://api.spotify.com/v1/tracks/1x5uu3K2T5q15dm4tzUzBt,https://api.spotify.com/v1/audio-analysis/1x5uu3K2T5q15dm4tzUzBt
0.884,0.229,7,-13.167,0.0474,0.901,0.00225,0.204,0.585,126.03,2qHOE3ATOEVatuJiCIoLV7,spotify:track:2qHOE3ATOEVatuJiCIoLV7,https://api.spotify.com/v1/tracks/2qHOE3ATOEVatuJiCIoLV7,https://api.spotify.com/v1/audio-analysis/2qHOE3ATOEVatuJiCIoLV7
